"","Provider_Name","Difference","Percent"
"241",3904,-0.00142,"-4.56%"
"242",3906,-0.00069,"-4.58%"
"243",4005,0.01831,"320.1%"
"244",4032,-0.02142,"-47.03%"
"245",4037,-0.05482,"-66.54%"
"246",4038,-0.01559,"-44.14%"
"247",4043,-0.001695,"-16.31%"
"248",4062,-0.02305,"-30.81%"
"249",4072,-0.02338,"-45.3%"
"250",4073,0.003275,"25.42%"
"251",4074,0.0195466666666667,"232.51%"
"252",4092,-0.01683,"-33.33%"
"253",4096,0.012155,"88.43%"
"254",4102,-0.00616,"-10.41%"
"255",4103,-0.01415,"-100%"
"256",4105,0.01014,"128.6%"
"257",4106,0.00211,"21.06%"
"258",4112,-0.03278,"-70.71%"
"259",4210,-0.002185,"-19.95%"
"260",4240,-0.005235,"-33.75%"
"261",4276,-0.0456,"-54.12%"
"262",4281,0.0084,"95.18%"
"263",4289,0.01921,"25.98%"
"264",4330,-0.0099625,"-63.85%"
"265",4401,0.00854333333333333,"120.7%"
"266",4426,0.00912,"86.45%"
"267",4448,-0.00667,"-24.75%"
"268",4457,-0.00184,"-11.45%"
"269",4530,-0.01097,"-38.68%"
"270",4605,-0.012005,"-27.45%"
"271",4609,-0.03152,"-100%"
"272",4631,-0.03377,"-100%"
"273",4649,0.00257,"3.56%"
"274",4730,0.00853,"138.25%"
"275",4758,-0.01046,"-100%"
"276",4769,-0.01607,"-100%"
"277",4785,-0.000700000000000003,"-2.93%"
"278",4841,-0.0136,"-18.38%"
"279",4843,-0.010355,"-16.04%"
"280",4901,-0.0112233333333333,"-52.75%"
"281",4915,0.027895,"64.74%"
"282",4930,-0.0281,"-100%"
"283",4938,-0.00134666666666666,"-4.6%"
"284",4950,-0.01412,"-55.22%"
"285",5061,0.00587,"11.36%"
"286",5156,-0.00411,"-18.05%"
"287",5201,-0.0083525,"-33.02%"
"288",5301,0.010435,"31.52%"
"289",5354,-0.02434,"-57.42%"
"290",5401,0.00380999999999999,"10.62%"
"291",5408,0.010225,"59.07%"
"292",5446,0.03049,"50.09%"
"293",5478,-0.00100333333333333,"-4.91%"
"294",5482,-0.01993,"-18.48%"
"295",5641,-0.00297666666666667,"-17.37%"
"296",5661,-0.00394000000000001,"-5.61%"
"297",5663,-0.02898,"-100%"
"298",5701,-0.00566333333333333,"-41.9%"
"299",5753,-0.04256,"-100%"
"300",5822,0.02377,"40.25%"
"301",5839,-0.02542,"-32.17%"
"302",5841,-0.01193,"-34.09%"
"303",5855,0.02133,"72.21%"
"304",6001,-0.00459,"-100%"
"305",6002,0.007115,"433.18%"
"306",6010,0.0035,"24.47%"
"307",6018,-0.01078,"-100%"
"308",6022,0.01639,"47.87%"
"309",6032,0.002035,"15.18%"
"310",6033,-9.99999999999994e-05,"-2.06%"
